epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9740097522735596,0.08073291927576065
0,,349,,,0.9335618615150452,0.16188488900661469,,
,1e-05,350,,,,,,
1,,699,,,,,0.9749826192855835,0.074528768658638
1,,699,,,0.9910879135131836,0.028300337493419647,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9801250696182251,0.059160586446523666
2,,1049,,,0.9946944713592529,0.017395060509443283,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9727588891983032,0.09572144597768784
3,,1399,,,0.9969597458839417,0.009129469282925129,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9760944843292236,0.09235702455043793
4,,1749,,,0.9974366426467896,0.008515572175383568,,
5,,1750,0.973841667175293,0.09191057831048965,,,,
0,,0,0.49311256408691406,0.7810152173042297,,,,
