epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9805420637130737,0.05650806427001953
0,,349,,,0.9383010268211365,0.15047526359558105,,
,1e-05,350,,,,,,
1,,699,,,,,0.9706740975379944,0.09684077650308609
1,,699,,,0.9923993945121765,0.022973574697971344,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9829047918319702,0.05306977406144142
2,,1049,,,0.99505215883255,0.015099409967660904,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9837387204170227,0.04901840537786484
3,,1399,,,0.9960953593254089,0.012096604332327843,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9852675199508667,0.04665737599134445
4,,1749,,,0.9973174333572388,0.008365622721612453,,
5,,1750,0.9830248951911926,0.05226794630289078,,,,
0,,0,0.5041046142578125,0.7776414155960083,,,,
