epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9715079665184021,0.07524172216653824
0,,349,,,0.9383010268211365,0.15425996482372284,,
,1e-05,350,,,,,,
1,,699,,,,,0.9797081351280212,0.052972495555877686
1,,699,,,0.9913561940193176,0.026867730543017387,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9788742065429688,0.06336025148630142
2,,1049,,,0.9969895482063293,0.00992922205477953,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9855455160140991,0.044297657907009125
3,,1399,,,0.9966617226600647,0.010676178149878979,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9847115874290466,0.0551033616065979
4,,1749,,,0.9973174333572388,0.009569779969751835,,
5,,1750,0.9805203676223755,0.07225804775953293,,,,
0,,0,0.5041046142578125,0.7776414155960083,,,,
