epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9848505854606628,0.04298844933509827
0,,349,,,0.9483159184455872,0.12504038214683533,,
,1e-05,350,,,,,,
1,,699,,,,,0.9870743751525879,0.03563372418284416
1,,699,,,0.9912071824073792,0.024697188287973404,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9883252382278442,0.03460134565830231
2,,1049,,,0.9967213273048401,0.010054935701191425,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9833217263221741,0.050714876502752304
3,,1399,,,0.9968107342720032,0.009513933211565018,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9854065179824829,0.0477093905210495
4,,1749,,,0.9985097050666809,0.00436771335080266,,
5,,1750,0.984138011932373,0.045574527233839035,,,,
0,,0,0.5170446634292603,0.7655548453330994,,,,
