epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9560806155204773,0.11834307014942169
0,,349,,,0.9053651094436646,0.21481582522392273,,
,1e-05,350,,,,,,
1,,699,,,,,0.9665045142173767,0.08964856714010239
1,,699,,,0.9802980422973633,0.0560421384871006,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9658095836639404,0.10850965231657028
2,,1049,,,0.9936810731887817,0.019518570974469185,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9644197225570679,0.13525255024433136
3,,1399,,,0.9967213273048401,0.010534846223890781,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9719249606132507,0.11219116300344467
4,,1749,,,0.9975261092185974,0.008038051426410675,,
5,,1750,0.9743981957435608,0.10854662209749222,,,,
