epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9594162702560425,0.10434530675411224
0,,349,,,0.9017585515975952,0.2180671989917755,,
,1e-05,350,,,,,,
1,,699,,,,,0.9744266867637634,0.07019230723381042
1,,699,,,0.9838151931762695,0.04599945619702339,,
,1e-05,700,,,,,,
2,,1049,,,,,0.976372480392456,0.07362265884876251
2,,1049,,,0.9959761500358582,0.01228740531951189,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9698401689529419,0.10718619078397751
3,,1399,,,0.9967511296272278,0.009527201764285564,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9658095836639404,0.1035776287317276
4,,1749,,,0.9966915249824524,0.009532169438898563,,
5,,1750,0.9660497903823853,0.10207628458738327,,,,
