epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9523280262947083,0.12280962616205215
0,,349,,,0.9027720093727112,0.21813829243183136,,
,1e-05,350,,,,,,
1,,699,,,,,0.9748436212539673,0.06918524205684662
1,,699,,,0.9837555885314941,0.04682668671011925,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9724808931350708,0.07991340011358261
2,,1049,,,0.9957078695297241,0.014424744062125683,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9751216173171997,0.09464221447706223
3,,1399,,,0.9976453185081482,0.007537974510341883,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9765114784240723,0.08494788408279419
4,,1749,,,0.9979433417320251,0.007466759067028761,,
5,,1750,0.9791289567947388,0.07450783252716064,,,,
