epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9546907544136047,0.11362060159444809
0,,349,,,0.9022652506828308,0.22087161242961884,,
,1e-05,350,,,,,,
1,,699,,,,,0.9720639586448669,0.08125822991132736
1,,699,,,0.9843516945838928,0.04414394497871399,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9716469645500183,0.08365727216005325
2,,1049,,,0.9958271384239197,0.012785316444933414,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9659485816955566,0.12658047676086426
3,,1399,,,0.9986289143562317,0.0046365284360945225,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9738707542419434,0.09568391740322113
4,,1749,,,0.9969895482063293,0.008169649168848991,,
5,,1750,0.9762070178985596,0.08696455508470535,,,,
