epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,
0,,349,,,0.7476025223731995,0.9548901915550232
0,,349,0.67219078540802,1.4422855377197266,,
,3e-05,350,,,,
1,,699,,,0.7998610138893127,0.6845035552978516
1,,699,0.8175559043884277,0.5934411287307739,,
,3e-05,700,,,,
2,,1049,,,0.8298818469047546,0.5757864713668823
2,,1049,0.8814902901649475,0.33792364597320557,,
,3e-05,1050,,,,
3,,1399,,,0.8454482555389404,0.5154500007629395
3,,1399,0.9204471111297607,0.20880168676376343,,
,3e-05,1400,,,,
4,,1749,,,0.8542042970657349,0.484226256608963
4,,1749,0.9494187831878662,0.13136444985866547,,
,3e-05,1750,,,,
5,,2099,,,0.860736608505249,0.4747191071510315
5,,2099,0.9674515724182129,0.08794261515140533,,
,3e-05,2100,,,,
6,,2449,,,0.8625434041023254,0.457764208316803
6,,2449,0.9780029654502869,0.06346116960048676,,
,3e-05,2450,,,,
7,,2799,,,0.8706045746803284,0.4648923873901367
7,,2799,0.9860208630561829,0.04387553408741951,,
,3e-05,2800,,,,
8,,3149,,,0.8751910924911499,0.4495459794998169
8,,3149,0.9911177158355713,0.03125796467065811,,
,3e-05,3150,,,,
9,,3499,,,0.8782488107681274,0.4591194987297058
9,,3499,0.9931445717811584,0.025460515171289444,,
