epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,349,,,,,0.7331480383872986,0.9485835433006287
0,,349,,,0.6670938730239868,1.4158071279525757,,
,3e-05,350,,,,,,
1,,699,,,,,0.7972202897071838,0.677213728427887
1,,699,,,0.8143070340156555,0.5827786326408386,,
,3e-05,700,,,,,,
2,,1049,,,,,0.8305767774581909,0.547188937664032
2,,1049,,,0.8814008831977844,0.3286467492580414,,
,3e-05,1050,,,,,,
3,,1399,,,,,0.8561500906944275,0.46018165349960327
3,,1399,,,0.9276602268218994,0.19460764527320862,,
,3e-05,1400,,,,,,
4,,1749,,,,,0.8694927096366882,0.41626065969467163
4,,1749,,,0.9524292349815369,0.12328541278839111,,
,3e-05,1750,,,,,,
5,,2099,,,,,0.8808895349502563,0.39959481358528137
5,,2099,,,0.9705812335014343,0.08066021651029587,,
,3e-05,2100,,,,,,
6,,2449,,,,,0.8861709237098694,0.3761731684207916
6,,2449,,,0.9818778038024902,0.0529346838593483,,
,3e-05,2450,,,,,,
7,,2799,,,,,0.8932592272758484,0.3692687153816223
7,,2799,,,0.9882563352584839,0.03748471662402153,,
,3e-05,2800,,,,,,
8,,3149,,,,,0.8985406756401062,0.3618335723876953
8,,3149,,,0.9923397898674011,0.02599075250327587,,
,3e-05,3150,,,,,,
9,,3499,,,,,0.902154266834259,0.35875067114830017
9,,3499,,,0.995529055595398,0.01883348450064659,,
10,,3500,0.9019061923027039,0.36373162269592285,,,,
