epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,349,,,,,0.73328697681427,0.9485675692558289
0,,349,,,0.6672131419181824,1.4158129692077637,,
,3e-05,350,,,,,,
1,,699,,,,,0.7969422936439514,0.677213728427887
1,,699,,,0.8142473697662354,0.5827801823616028,,
,3e-05,700,,,,,,
2,,1049,,,,,0.8304377794265747,0.5472397208213806
2,,1049,,,0.8814306855201721,0.328652024269104,,
,3e-05,1050,,,,,,
3,,1399,,,,,0.8561500906944275,0.46008968353271484
3,,1399,,,0.927600622177124,0.1946054846048355,,
,3e-05,1400,,,,,,
4,,1749,,,,,0.8694927096366882,0.4162371754646301
4,,1749,,,0.9524590373039246,0.1232842355966568,,
,3e-05,1750,,,,,,
5,,2099,,,,,0.881167471408844,0.3995130658149719
5,,2099,,,0.970611035823822,0.08065452426671982,,
,3e-05,2100,,,,,,
6,,2449,,,,,0.8858929872512817,0.3761727511882782
6,,2449,,,0.9818480014801025,0.052927859127521515,,
,3e-05,2450,,,,,,
7,,2799,,,,,0.8933981657028198,0.36928993463516235
7,,2799,,,0.9882265329360962,0.03747966140508652,,
,3e-05,2800,,,,,,
8,,3149,,,,,0.8985406756401062,0.36187854409217834
8,,3149,,,0.9923397898674011,0.025991853326559067,,
,3e-05,3150,,,,,,
9,,3499,,,,,0.9020152688026428,0.35878491401672363
9,,3499,,,0.9955886602401733,0.018832722678780556,,
10,,3500,0.9019061923027039,0.36375510692596436,,,,
