epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,349,,,,,0.7335649728775024,0.9485645294189453
0,,349,,,0.6672131419181824,1.415794014930725,,
,3e-05,350,,,,,,
1,,699,,,,,0.7970812916755676,0.677189290523529
1,,699,,,0.814277172088623,0.5827878713607788,,
,3e-05,700,,,,,,
2,,1049,,,,,0.8307157754898071,0.5471743941307068
2,,1049,,,0.8814604878425598,0.32863834500312805,,
,3e-05,1050,,,,,,
3,,1399,,,,,0.8561500906944275,0.46012821793556213
3,,1399,,,0.9275409579277039,0.19460251927375793,,
,3e-05,1400,,,,,,
4,,1749,,,,,0.8696317076683044,0.41627007722854614
4,,1749,,,0.9524590373039246,0.12329057604074478,,
,3e-05,1750,,,,,,
5,,2099,,,,,0.8808895349502563,0.39957356452941895
5,,2099,,,0.9705514311790466,0.08065453916788101,,
,3e-05,2100,,,,,,
6,,2449,,,,,0.886031985282898,0.37618935108184814
6,,2449,,,0.9818480014801025,0.05293137952685356,,
,3e-05,2450,,,,,,
7,,2799,,,,,0.8931202292442322,0.3692825138568878
7,,2799,,,0.9882861375808716,0.03749002516269684,,
,3e-05,2800,,,,,,
8,,3149,,,,,0.8982626795768738,0.36182403564453125
8,,3149,,,0.9923695921897888,0.025989679619669914,,
,3e-05,3150,,,,,,
9,,3499,,,,,0.902154266834259,0.3587293326854706
9,,3499,,,0.9955588579177856,0.018827933818101883,,
10,,3500,0.9020453691482544,0.363757848739624,,,,
