epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,349,,,,,0.7448228001594543,0.9175660014152527
0,,349,,,0.6785693168640137,1.3876899480819702,,
,3e-05,350,,,,,,
1,,699,,,,,0.7984711527824402,0.6610813736915588
1,,699,,,0.8207153677940369,0.5676451921463013,,
,3e-05,700,,,,,,
2,,1049,,,,,0.8257123231887817,0.5479437708854675
2,,1049,,,0.8821162581443787,0.32385769486427307,,
,3e-05,1050,,,,,,
3,,1399,,,,,0.8487838506698608,0.46695512533187866
3,,1399,,,0.9262295365333557,0.19724394381046295,,
,3e-05,1400,,,,,,
4,,1749,,,,,0.8649061918258667,0.4348953068256378
4,,1749,,,0.9510581493377686,0.12653189897537231,,
,3e-05,1750,,,,,,
5,,2099,,,,,0.8719944357872009,0.4129166901111603
5,,2099,,,0.9699850678443909,0.08245296776294708,,
,3e-05,2100,,,,,,
6,,2449,,,,,0.8821403980255127,0.3949456810951233
6,,2449,,,0.9814605116844177,0.05405411496758461,,
,3e-05,2450,,,,,,
7,,2799,,,,,0.8890896439552307,0.3878537714481354
7,,2799,,,0.9884649515151978,0.038162898272275925,,
,3e-05,2800,,,,,,
8,,3149,,,,,0.8913134336471558,0.37798765301704407
8,,3149,,,0.9931147694587708,0.025964787229895592,,
,3e-05,3150,,,,,,
9,,3499,,,,,0.895205020904541,0.3796014189720154
9,,3499,,,0.9951117634773254,0.019254080951213837,,
10,,3500,0.8946709632873535,0.4015376567840576,,,,
