epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0001,0,,,,,,
0,,189,,,,,0.961198627948761,0.10959138721227646
0,,189,,,0.9263608455657959,0.188938170671463,,
,0.0001,190,,,,,,
1,,379,,,,,0.9679216146469116,0.09187329560518265
1,,379,,,0.9782155156135559,0.059177350252866745,,
,0.0001,380,,,,,,
2,,569,,,,,0.9848251938819885,0.04837096109986305
2,,569,,,0.991878867149353,0.020765678957104683,,
,0.0001,570,,,,,,
3,,759,,,,,0.9815597534179688,0.056348737329244614
3,,759,,,0.995829701423645,0.011920332908630371,,
,0.0001,760,,,,,,
4,,949,,,,,0.9821360111236572,0.05765672028064728
4,,949,,,0.995829701423645,0.011814527213573456,,
5,,950,0.9930849075317383,0.028118370100855827,,,,
