epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,189,,,,,0.8803303837776184,0.48015251755714417
0,,189,,,0.799879252910614,0.9154440760612488,,
,3e-05,190,,,,,,
1,,379,,,,,0.9074144959449768,0.3576001822948456
1,,379,,,0.9232330918312073,0.27627551555633545,,
,3e-05,380,,,,,,
2,,569,,,,,0.9156742095947266,0.3147939145565033
2,,569,,,0.954071581363678,0.14515835046768188,,
,3e-05,570,,,,,,
3,,759,,,,,0.9241260290145874,0.2992280423641205
3,,759,,,0.9734964966773987,0.07373093068599701,,
,3e-05,760,,,,,,
4,,949,,,,,0.9287360906600952,0.2798248529434204
4,,949,,,0.9837576746940613,0.045826539397239685,,
,3e-05,950,,,,,,
5,,1139,,,,,0.9337303042411804,0.26580938696861267
5,,1139,,,0.99089115858078,0.026590079069137573,,
,3e-05,1140,,,,,,
6,,1329,,,,,0.9369957447052002,0.26514413952827454
6,,1329,,,0.9929214119911194,0.019984165206551552,,
,3e-05,1330,,,,,,
7,,1519,,,,,0.9383403658866882,0.2567748427391052
7,,1519,,,0.994841992855072,0.01640828140079975,,
,3e-05,1520,,,,,,
8,,1709,,,,,0.9396849870681763,0.2473161369562149
8,,1709,,,0.9957199096679688,0.013122848235070705,,
,3e-05,1710,,,,,,
9,,1899,,,,,0.9406453967094421,0.24119257926940918
9,,1899,,,0.9979148507118225,0.008518440648913383,,
10,,1900,0.9773338437080383,0.09214936941862106,,,,
