epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9794301390647888,0.05487919971346855
0,,349,,,0.9523695707321167,0.11684193462133408,,
,1e-05,350,,,,,,
1,,699,,,,,0.9799861311912537,0.06746216863393784
1,,699,,,0.9921907782554626,0.02158709429204464,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9892981052398682,0.032796476036310196
2,,1049,,,0.9958569407463074,0.011848552152514458,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9877693057060242,0.03846516087651253
3,,1399,,,0.9968107342720032,0.009492399170994759,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.984989583492279,0.04394606873393059
4,,1749,,,0.9983606338500977,0.005518412683159113,,
5,,1750,0.9848337173461914,0.04811546951532364,,,,
5,,1750,0.9848337173461914,0.04811546951532364,,,,
0,,0,0.9848337173461914,0.04811546951532364,,,,
0,,0,0.5246973633766174,0.7529922723770142,,,,
