epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,
0,,349,,,0.9605281352996826,0.09920717030763626
0,,349,0.9137704968452454,0.19901101291179657,,
,1e-05,350,,,,
1,,699,,,0.9738707542419434,0.07947514206171036
1,,699,0.9850670695304871,0.0398072712123394,,
,1e-05,700,,,,
2,,1049,,,0.9801250696182251,0.06885231286287308
2,,1049,0.9963040351867676,0.011564192362129688,,
,1e-05,1050,,,,
3,,1399,,,0.9774843454360962,0.08474931120872498
3,,1399,0.9978837370872498,0.006374779157340527,,
,1e-05,1400,,,,
4,,1749,,,0.9816539287567139,0.07811450958251953
4,,1749,0.998599112033844,0.004215015098452568,,
