epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9635857939720154,0.090571828186512
0,,349,,,0.9136512875556946,0.1996086984872818,,
,1e-05,350,,,,,,
1,,699,,,,,0.9676163792610168,0.0925271138548851
1,,699,,,0.9858718514442444,0.03892816975712776,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9816539287567139,0.061706796288490295
2,,1049,,,0.9959761500358582,0.01168291550129652,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9728978276252747,0.08767973631620407
3,,1399,,,0.996363639831543,0.010909165255725384,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9810979962348938,0.06762660294771194
4,,1749,,,0.9985693097114563,0.004683930426836014,,
5,,1750,0.9835814833641052,0.058173228055238724,,,,
