epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,2e-05,0,,,,,,
0,,262,,,,,0.7013203501701355,1.1628074645996094
0,,262,,,0.6349627375602722,1.655210018157959,,
,2e-05,263,,,,,,
1,,525,,,,,0.759138286113739,0.8483391404151917
1,,525,,,0.7701043486595154,0.80540531873703,,
,2e-05,526,,,,,,
2,,788,,,,,0.7956914305686951,0.6942648887634277
2,,788,,,0.8315350413322449,0.5173176527023315,,
,2e-05,789,,,,,,
3,,1051,,,,,0.8190410137176514,0.595035195350647
3,,1051,,,0.8774963021278381,0.34784117341041565,,
,2e-05,1052,,,,,,
4,,1314,,,,,0.8375260829925537,0.5302611589431763
4,,1314,,,0.9075111746788025,0.25038793683052063,,
,2e-05,1315,,,,,,
5,,1577,,,,,0.851563572883606,0.4946252703666687
5,,1577,,,0.9307600855827332,0.18045243620872498,,
,2e-05,1578,,,,,,
6,,1840,,,,,0.8576789498329163,0.46038031578063965
6,,1840,,,0.9518330693244934,0.1283763200044632,,
,2e-05,1841,,,,,,
7,,2103,,,,,0.8686587810516357,0.4451863169670105
7,,2103,,,0.9646199941635132,0.09566818922758102,,
,2e-05,2104,,,,,,
8,,2366,,,,,0.8722724318504333,0.43253734707832336
8,,2366,,,0.9749031066894531,0.07107768952846527,,
,2e-05,2367,,,,,,
9,,2629,,,,,0.8803335428237915,0.41219934821128845
9,,2629,,,0.9824441075325012,0.05380096286535263,,
10,,2630,0.8772784471511841,0.43887051939964294,,,,
10,,2630,0.8772784471511841,0.43887051939964294,,,,
