image,split,class,spai
n01768244_302.JPEG,test,1,1.0959744084400121e-16
n03764736_5793.JPEG,test,1,0.0
n02102318_3996.JPEG,test,1,1.0207887868318721e-09
n04554684_8950.JPEG,test,1,2.2510140091330934e-33
n02093754_862.JPEG,test,1,2.7578309157078314e-26
n03127925_27982.JPEG,test,1,0.8469920754432678
n02132136_278.JPEG,test,1,0.0007093465537764132
n03045698_6254.JPEG,test,1,1.0002748496162894e-07
n02916936_5817.JPEG,test,1,0.5434544086456299
n02165456_11220.JPEG,test,1,4.233502750139451e-06
n03141823_10194.JPEG,test,1,2.993826338161967e-33
n01883070_5551.JPEG,test,1,0.0
n03218198_3839.JPEG,test,1,1.4087942968600904e-17
n03976467_12223.JPEG,test,1,7.957442239812349e-31
n02113799_334.JPEG,test,1,7.0692765648914975e-28
n02443114_30457.JPEG,test,1,0.00672386446967721
n04356056_75414.JPEG,test,1,1.3916471115955652e-19
n02669723_2641.JPEG,test,1,0.02673506550490856
n02018207_12174.JPEG,test,1,2.733107446620058e-16
n02087394_12482.JPEG,test,1,0.005334216170012951
n02281406_4815.JPEG,test,1,6.796437544698275e-12
n02687172_65667.JPEG,test,1,6.552573312645543e-34
n03873416_15627.JPEG,test,1,6.767859375805427e-24
n03314780_13139.JPEG,test,1,0.0001867604732979089
n03187595_12702.JPEG,test,1,0.7664728164672852
n01930112_11077.JPEG,test,1,4.8246488455836595e-15
n04613696_7702.JPEG,test,1,0.9971439242362976
n01614925_6006.JPEG,test,1,2.5258046337244167e-22
n02095570_2953.JPEG,test,1,5.280608093016781e-07
n02361337_9727.JPEG,test,1,3.189863195633691e-13
n02977058_29030.JPEG,test,1,1.7684060080091452e-25
n03785016_15792.JPEG,test,1,2.8795401355805805e-26
n03485794_5174.JPEG,test,1,2.5510638866023273e-18
n03584829_15500.JPEG,test,1,1.473495239669121e-24
n03868863_4202.JPEG,test,1,0.3796778917312622
n04483307_8233.JPEG,test,1,6.5735225689422805e-06
n02974003_2559.JPEG,test,1,3.5842419391632005e-14
n02277742_5431.JPEG,test,1,1.8793715415675835e-19
n02259212_3808.JPEG,test,1,0.984014093875885
n02917067_17750.JPEG,test,1,2.501321173671298e-18
n03404251_10590.JPEG,test,1,3.9699286388291423e-26
n07714571_12498.JPEG,test,1,0.00743590435013175
n02906734_7390.JPEG,test,1,0.9468787312507629
n01917289_3744.JPEG,test,1,3.0159615107550053e-06
n04153751_5007.JPEG,test,1,0.27570101618766785
n03908714_2490.JPEG,test,1,0.9969989061355591
n04040759_736.JPEG,test,1,3.3661496701142823e-08
n01984695_41502.JPEG,test,1,1.9088285639623503e-12
n03930630_5314.JPEG,test,1,0.0
n13040303_327.JPEG,test,1,0.0
n03876231_14409.JPEG,test,1,0.00041658285772427917
n03649909_23511.JPEG,test,1,1.1788313441854018e-31
n02988304_20856.JPEG,test,1,0.0
n02101006_1284.JPEG,test,1,4.55269042210917e-19
n01739381_9140.JPEG,test,1,1.1322792993547025e-31
n09835506_16775.JPEG,test,1,0.02674175798892975
n03657121_14223.JPEG,test,1,3.726080671716322e-23
n07860988_12466.JPEG,test,1,1.0019614819611888e-05
n03788365_4340.JPEG,test,1,5.6180350474474585e-24
n03085013_23618.JPEG,test,1,0.7561312913894653
n02190166_1427.JPEG,test,1,1.2622580314314291e-08
n07615774_23039.JPEG,test,1,0.0002608759969007224
n02395406_3771.JPEG,test,1,0.0006489448132924736
n02108000_1891.JPEG,test,1,9.156776899221786e-12
n03874293_1966.JPEG,test,1,6.679920288785168e-13
n01440764_5709.JPEG,test,1,0.9796653389930725
n04285008_8113.JPEG,test,1,2.3108717162045878e-09
n02092002_9592.JPEG,test,1,2.5619437529143296e-28
n02837789_11691.JPEG,test,1,0.19279742240905762
n03623198_12587.JPEG,test,1,0.9999974966049194
n07717556_2749.JPEG,test,1,2.371793482286191e-32
n01740131_6122.JPEG,test,1,0.0
n02096294_10669.JPEG,test,1,2.0608249741101983e-30
n02110063_15322.JPEG,test,1,3.2894181822840096e-10
n04277352_9376.JPEG,test,1,5.2268247507925025e-09
n02002556_6747.JPEG,test,1,8.540890460335614e-18
n04604644_3353.JPEG,test,1,0.0
n04275548_9086.JPEG,test,1,1.6353465071006212e-06
n02493509_16368.JPEG,test,1,3.02919229264528e-29
n01622779_12415.JPEG,test,1,9.186053959903046e-21
n02951358_34070.JPEG,test,1,1.1093254916958567e-30
n03630383_11357.JPEG,test,1,2.653140285246991e-08
n02097658_929.JPEG,test,1,1.923630022921773e-28
n02089973_5726.JPEG,test,1,6.309284276408685e-22
n04326547_2474.JPEG,test,1,0.0
n04147183_2181.JPEG,test,1,1.912848774569681e-38
n09468604_10064.JPEG,test,1,4.077693120052572e-06
n02865351_9491.JPEG,test,1,2.2386656246486975e-33
n06794110_753.JPEG,test,1,7.623557442610827e-21
n02107574_5544.JPEG,test,1,1.3709492755236412e-20
n07892512_36737.JPEG,test,1,6.662923260591924e-05
n03721384_24611.JPEG,test,1,2.725620049659483e-07
n03110669_86131.JPEG,test,1,1.590663885331356e-11
n04200800_1482.JPEG,test,1,1.2629777294403926e-20
n04204238_7530.JPEG,test,1,0.0
n07892512_34328.JPEG,test,1,4.0790700950310566e-06
n04404412_22787.JPEG,test,1,7.717679478261569e-31
n03100240_5456.JPEG,test,1,2.5300141035519093e-33
n02206856_2081.JPEG,test,1,0.0003471587842795998
n03942813_5093.JPEG,test,1,4.7493213806149015e-09
n04592741_701.JPEG,test,1,0.0
n01531178_3364.JPEG,test,1,2.870587881981246e-13
n02093428_1952.JPEG,test,1,7.397970271005581e-37
n03825788_23150.JPEG,test,1,0.0
n06785654_6305.JPEG,test,1,2.9007671744252887e-31
n04118538_1471.JPEG,test,1,0.9935038685798645
n03630383_11483.JPEG,test,1,3.372324726619235e-31
n04350905_1727.JPEG,test,1,3.381776134609315e-26
n03916031_20586.JPEG,test,1,3.5715287983809357e-25
n03642806_28274.JPEG,test,1,9.213343170347763e-24
n03873416_14687.JPEG,test,1,3.4490186011924994e-24
n03623198_17391.JPEG,test,1,0.03907274082303047
n02086646_5522.JPEG,test,1,4.146907031099545e-06
n02489166_11174.JPEG,test,1,1.970984897979827e-34
n03642806_26702.JPEG,test,1,3.28637454468999e-15
n03954731_4328.JPEG,test,1,7.732900826340483e-07
n03197337_5788.JPEG,test,1,1.320637349477849e-11
n01580077_11387.JPEG,test,1,0.9851844310760498
n02988304_11907.JPEG,test,1,7.532074164373626e-08
n02002556_6510.JPEG,test,1,6.912070564572337e-23
n04404412_19226.JPEG,test,1,1.0649215003203337e-14
n04090263_7559.JPEG,test,1,5.4077593114666875e-39
n02094258_3230.JPEG,test,1,1.5372775252495822e-20
n09288635_5517.JPEG,test,1,6.516663120237354e-07
n07565083_8632.JPEG,test,1,1.9930269031112616e-24
n03942813_6094.JPEG,test,1,4.951998404662774e-25
n02666196_5500.JPEG,test,1,0.017231129109859467
n03208938_1979.JPEG,test,1,0.0
n04200800_24999.JPEG,test,1,5.846249871837213e-30
n02669723_2383.JPEG,test,1,4.580539094352028e-29
n02123159_3345.JPEG,test,1,2.819758123030785e-16
n04479046_7133.JPEG,test,1,0.3582071363925934
n04067472_6931.JPEG,test,1,0.6015958786010742
n02514041_5915.JPEG,test,1,5.132548749023273e-20
n07742313_11488.JPEG,test,1,5.649588638334535e-05
n04423845_20236.JPEG,test,1,1.0720639345081287e-34
n02641379_30055.JPEG,test,1,6.961784472998408e-18
n04125021_2259.JPEG,test,1,7.852933632528967e-36
n02965783_3302.JPEG,test,1,0.0
n06359193_23042.JPEG,test,1,0.0
n07716358_5690.JPEG,test,1,2.334690947514151e-11
n03661043_22968.JPEG,test,1,1.5212470926072762e-27
n02799071_5017.JPEG,test,1,6.133825669607518e-10
n02077923_7493.JPEG,test,1,6.5564229392856e-12
n03938244_28855.JPEG,test,1,0.0
n04597913_5036.JPEG,test,1,6.13334478799165e-29
n04090263_12481.JPEG,test,1,0.0
n04592741_7500.JPEG,test,1,3.502914214248415e-19
n02110341_5923.JPEG,test,1,1.781464220584894e-07
n03854065_8897.JPEG,test,1,1.5757843680588008e-24
n02480855_2487.JPEG,test,1,1.4765013637535603e-22
n04376876_3772.JPEG,test,1,2.2634438133451937e-14
n02174001_1815.JPEG,test,1,4.130621618969599e-06
n01924916_8703.JPEG,test,1,2.7917342049210703e-11
n02093991_3064.JPEG,test,1,1.0710867854868411e-06
n01693334_9622.JPEG,test,1,0.0006407598266378045
n02977058_19784.JPEG,test,1,2.020073553549603e-35
n03047690_1402.JPEG,test,1,0.8639267683029175
n03792782_20971.JPEG,test,1,0.04061822593212128
n02018207_11787.JPEG,test,1,0.0029575848020613194
n01614925_608.JPEG,test,1,6.582534001165362e-20
n02870880_15504.JPEG,test,1,0.20781955122947693
n02011460_6469.JPEG,test,1,9.913238285808035e-11
n03481172_11208.JPEG,test,1,2.1737559668943973e-12
n03498962_32660.JPEG,test,1,0.8200241327285767
n04485082_4948.JPEG,test,1,1.7913830419047372e-09
n02098413_14709.JPEG,test,1,1.6723108696979107e-14
n02492035_17630.JPEG,test,1,5.092880783763576e-08
n04579145_2767.JPEG,test,1,1.1562405565509233e-19
n02410509_3498.JPEG,test,1,1.3257311240858444e-36
n04127249_12299.JPEG,test,1,8.513933490632868e-31
n02492035_8785.JPEG,test,1,3.159335423483234e-12
n04536866_3098.JPEG,test,1,0.9966840147972107
n03272010_1750.JPEG,test,1,9.127047917445452e-08
n01829413_3231.JPEG,test,1,5.125963653540566e-09
n03218198_25227.JPEG,test,1,2.035293870044783e-37
n02093256_822.JPEG,test,1,1.3977453916513838e-10
n02007558_11816.JPEG,test,1,0.9239423274993896
n02100583_3751.JPEG,test,1,2.244800469952679e-07
n04120489_783.JPEG,test,1,8.887992568654603e-35
n03942813_2388.JPEG,test,1,9.263550271567232e-34
n04118776_8039.JPEG,test,1,0.5327500104904175
n13052670_10051.JPEG,test,1,9.581753793175274e-12
n07684084_3653.JPEG,test,1,7.479900236474411e-28
n01980166_3010.JPEG,test,1,0.0009002176229842007
n02090721_4374.JPEG,test,1,2.5828894952341826e-17
n02086910_14566.JPEG,test,1,0.9990881681442261
n04067472_5672.JPEG,test,1,2.762073816412514e-26
n03874599_11347.JPEG,test,1,0.0
n03721384_30856.JPEG,test,1,0.0
n02088466_6767.JPEG,test,1,0.7619483470916748
n09399592_12140.JPEG,test,1,1.6282542805376443e-12
n02094433_6125.JPEG,test,1,3.6936692593414477e-10
n04553703_40755.JPEG,test,1,6.418756574986081e-26
n03777754_26650.JPEG,test,1,2.414265587447062e-08
n01614925_3754.JPEG,test,1,8.201772594418344e-09
n01877812_3722.JPEG,test,1,0.0
n03942813_5512.JPEG,test,1,4.37320268886765e-09
n01744401_9540.JPEG,test,1,5.125500833268948e-29
n03874599_11822.JPEG,test,1,1.1947635410950934e-22
n02096177_294.JPEG,test,1,5.243293470197775e-34
n02110341_4928.JPEG,test,1,0.36515024304389954
n04501370_15945.JPEG,test,1,1.7735584360510868e-20
n04116512_96361.JPEG,test,1,0.7890186309814453
n01641577_6457.JPEG,test,1,8.602280532219767e-22
n04090263_6160.JPEG,test,1,0.8233628273010254
n02437312_322.JPEG,test,1,1.3042205119703776e-12
n03498962_34278.JPEG,test,1,0.0
n02093991_1793.JPEG,test,1,2.0706142277531117e-28
n02107908_10362.JPEG,test,1,0.0
n04208210_5703.JPEG,test,1,0.0
n02098105_5411.JPEG,test,1,9.133504168207778e-28
n07836838_3996.JPEG,test,1,3.2845628309649096e-19
n04136333_18771.JPEG,test,1,1.0
n02018207_3561.JPEG,test,1,4.749369111081481e-34
n02107908_12625.JPEG,test,1,3.121356009422381e-15
n01843065_175.JPEG,test,1,7.450614134540956e-07
n02018795_12882.JPEG,test,1,1.9965693988109375e-20
n01622779_6874.JPEG,test,1,4.676944942438865e-10
n07717556_2466.JPEG,test,1,1.3463341929309536e-05
n02640242_3370.JPEG,test,1,1.2973494870778326e-21
n02101006_11968.JPEG,test,1,2.5684587300495247e-30
n13044778_1073.JPEG,test,1,0.14313121140003204
n02093991_7969.JPEG,test,1,0.0
n03874599_3983.JPEG,test,1,3.4795628851232823e-29
n01797886_32885.JPEG,test,1,0.8833249807357788
n02783161_11492.JPEG,test,1,0.016065943986177444
n01580077_11211.JPEG,test,1,1.982001958822366e-05
n01833805_746.JPEG,test,1,1.7015158726430002e-10
n03691459_7688.JPEG,test,1,3.0324261261692703e-16
n03942813_13272.JPEG,test,1,0.4512689709663391
n03000247_25587.JPEG,test,1,9.658811528368005e-10
n07836838_8072.JPEG,test,1,5.392449556646985e-18
n02927161_340.JPEG,test,1,0.0
n03216828_10006.JPEG,test,1,1.3031444434610642e-26
n01773549_2767.JPEG,test,1,8.597054817170713e-13
n04389033_50479.JPEG,test,1,0.0
n04252077_10186.JPEG,test,1,1.7666461086334037e-25
n02229544_1670.JPEG,test,1,4.485217794721518e-35
n03717622_12724.JPEG,test,1,0.0
n03982430_39898.JPEG,test,1,0.0009534672717563808
n03187595_12858.JPEG,test,1,2.5536257075638996e-32
n01955084_1043.JPEG,test,1,0.0
n02094258_5924.JPEG,test,1,2.6644251041596512e-11
n03041632_24114.JPEG,test,1,4.7497777055709875e-30
n03877472_21825.JPEG,test,1,1.907199953521399e-10
n02066245_492.JPEG,test,1,6.21706315711484e-29
n03788365_1097.JPEG,test,1,0.00451753381639719
n03417042_6247.JPEG,test,1,1.9342422774570878e-07
n04125021_25276.JPEG,test,1,7.799526358098774e-09
n03623198_1342.JPEG,test,1,2.909920148054575e-17
n02110627_14360.JPEG,test,1,0.00018347134755458683
n03201208_30941.JPEG,test,1,1.0099177168925784e-22
n03930630_32003.JPEG,test,1,7.691071390869553e-11
n04116512_27779.JPEG,test,1,2.9728021012426604e-21
n12620546_55982.JPEG,test,1,0.9914516806602478
n02094258_6113.JPEG,test,1,0.9966764450073242
n02097209_2441.JPEG,test,1,8.162625704244419e-07
n03670208_19000.JPEG,test,1,9.866334095207097e-13
n02488702_5718.JPEG,test,1,1.1273938605343583e-20
n02281406_10989.JPEG,test,1,2.263396939335986e-17
n03666591_45798.JPEG,test,1,0.013359244912862778
n03710721_24404.JPEG,test,1,1.510778129118137e-14
n03982430_38098.JPEG,test,1,0.01968698389828205
n02788148_7542.JPEG,test,1,9.275554949330989e-38
n02814533_2838.JPEG,test,1,1.6177052752919252e-11
n02105251_3931.JPEG,test,1,0.0
n02114367_9142.JPEG,test,1,0.0
n03417042_5307.JPEG,test,1,0.0
n03871628_15282.JPEG,test,1,1.0039672601984057e-23
n07892512_1304.JPEG,test,1,2.285202299390221e-06
n04482393_18157.JPEG,test,1,0.00016659096581861377
n01630670_864.JPEG,test,1,4.428741704032291e-06
n02443114_29376.JPEG,test,1,3.0792580218985677e-06
n03961711_6968.JPEG,test,1,0.021281763911247253
n04562935_13969.JPEG,test,1,0.2075994312763214
n02086646_7544.JPEG,test,1,8.132479689670902e-10
n04111531_18229.JPEG,test,1,0.3345392048358917
n02089867_432.JPEG,test,1,0.017280925065279007
n01687978_4770.JPEG,test,1,1.5845854279169269e-31
n03954731_46537.JPEG,test,1,2.395237778811714e-21
n02229544_4444.JPEG,test,1,2.411739334783514e-15
n03794056_6092.JPEG,test,1,0.048551030457019806
n07714571_16616.JPEG,test,1,0.9987291693687439
n04116512_8789.JPEG,test,1,0.0760025829076767
n03196217_898.JPEG,test,1,0.0004953942843712866
n04613696_2345.JPEG,test,1,0.0
n03743016_10227.JPEG,test,1,3.465419349131251e-27
n03876231_7959.JPEG,test,1,1.3484908877062494e-27
n02488291_6101.JPEG,test,1,0.11568280309438705
n01833805_7784.JPEG,test,1,0.9999948740005493
n01773549_4516.JPEG,test,1,2.7435043126189385e-10
n01986214_15929.JPEG,test,1,0.10342761129140854
n02108551_16084.JPEG,test,1,6.992619509685674e-14
n01843383_4492.JPEG,test,1,0.7350855469703674
n03717622_12827.JPEG,test,1,7.515031817995313e-18
n04330267_973.JPEG,test,1,7.578438338028473e-14
n02488291_1365.JPEG,test,1,6.5762093006536e-20
n03085013_24313.JPEG,test,1,5.866222785311237e-11
n02526121_6853.JPEG,test,1,7.03226693211518e-28
n06785654_12519.JPEG,test,1,0.0
n01664065_28217.JPEG,test,1,0.0016834185225889087
n02879718_7589.JPEG,test,1,1.8803545841088608e-26
n02132136_10769.JPEG,test,1,1.904168628330538e-10
n02190166_12617.JPEG,test,1,0.0007026179227977991
n02105056_9045.JPEG,test,1,2.5493569410173222e-05
n13054560_7755.JPEG,test,1,1.8648301761299557e-13
n02708093_7870.JPEG,test,1,0.00024200105690397322
n02091467_8667.JPEG,test,1,0.012006512843072414
n03947888_15403.JPEG,test,1,0.0
n03840681_19593.JPEG,test,1,0.08026587963104248
n01518878_6895.JPEG,test,1,3.2278876760388873e-25
n04265275_9571.JPEG,test,1,1.8289289692148488e-20
n01558993_425.JPEG,test,1,3.8598914215981495e-06
n02107574_5311.JPEG,test,1,1.4996407104431914e-19
n03220513_4958.JPEG,test,1,3.7914709327996402e-34
n07836838_7467.JPEG,test,1,6.973232083989471e-20
n01833805_8679.JPEG,test,1,1.7229835357534754e-27
n02105162_70.JPEG,test,1,2.7873765795494165e-11
n03761084_13053.JPEG,test,1,6.769576454956905e-09
n02100583_356.JPEG,test,1,1.1881075345531639e-18
n03498962_9193.JPEG,test,1,5.49023188023412e-11
n07730033_17582.JPEG,test,1,5.190464153778165e-24
n04118538_14584.JPEG,test,1,9.622987458162171e-18
n04552348_14436.JPEG,test,1,1.3929286418390783e-17
n01943899_9052.JPEG,test,1,3.4142708191936544e-12
n01990800_8258.JPEG,test,1,0.0017555751837790012
n04273569_2378.JPEG,test,1,1.951350290656084e-38
n04604644_2895.JPEG,test,1,9.873696267525556e-24
n03954731_35663.JPEG,test,1,0.28271979093551636
n02097298_16212.JPEG,test,1,2.913746577593353e-36
n12144580_15901.JPEG,test,1,1.744839717154889e-09
n01871265_2038.JPEG,test,1,2.1048028031600552e-07
n02788148_35586.JPEG,test,1,0.9972220659255981
n02321529_2830.JPEG,test,1,5.1599628932308406e-05
n01877812_7478.JPEG,test,1,7.200191574016298e-19
n03623198_2745.JPEG,test,1,3.827742623638877e-27
n02699494_6254.JPEG,test,1,8.430346952919004e-26
n07714990_8555.JPEG,test,1,3.824178756454823e-21
n01871265_2311.JPEG,test,1,0.004803363233804703
n04442312_18258.JPEG,test,1,0.09114877879619598
n02443484_9357.JPEG,test,1,9.757342489535858e-09
n03495258_17529.JPEG,test,1,0.0
n02871525_6283.JPEG,test,1,0.0
n03787032_1212.JPEG,test,1,1.0128686877668291e-23
n04435653_4809.JPEG,test,1,0.9998113512992859
n03400231_1970.JPEG,test,1,9.22301737205089e-08
n04141076_5187.JPEG,test,1,0.992681086063385
n03393912_6468.JPEG,test,1,0.0
n03207743_22604.JPEG,test,1,3.844725995350018e-07
n03376595_16223.JPEG,test,1,7.371259754250818e-16
n02108089_10618.JPEG,test,1,0.13159719109535217
n03657121_34257.JPEG,test,1,1.092975456857395e-18
n04409515_5185.JPEG,test,1,0.048462215811014175
n03785016_15892.JPEG,test,1,0.0
n07614500_4883.JPEG,test,1,0.0
n02687172_66485.JPEG,test,1,0.0
n04579432_34229.JPEG,test,1,0.9929640293121338
n04254777_20285.JPEG,test,1,2.2643114334641723e-06
n02096585_8261.JPEG,test,1,4.104799520769496e-19
n04204347_6869.JPEG,test,1,1.1665164834084862e-08
n02837789_18402.JPEG,test,1,0.862822413444519
n01914609_5621.JPEG,test,1,7.407950392568179e-19
n04311004_2824.JPEG,test,1,0.0
n04507155_4754.JPEG,test,1,0.00024760086671449244
n03770439_5678.JPEG,test,1,9.382057110064007e-32
n02281406_10134.JPEG,test,1,4.265022198524093e-06
n02098413_14865.JPEG,test,1,1.5095756680238992e-05
n03793489_2482.JPEG,test,1,0.8899981379508972
n09835506_15847.JPEG,test,1,7.797547725510874e-39
n02006656_7386.JPEG,test,1,7.792530590228503e-22
n04254120_6499.JPEG,test,1,1.750297823344127e-11
n07871810_16034.JPEG,test,1,5.926790117100826e-17
n02988304_11967.JPEG,test,1,1.0287473650727463e-10
n02692877_46129.JPEG,test,1,1.8792084520458655e-32
n02107683_2710.JPEG,test,1,0.7331324219703674
n07714571_7275.JPEG,test,1,2.2047605898260128e-30
n04356056_7121.JPEG,test,1,4.624052120734732e-18
n07860988_1188.JPEG,test,1,0.0
n04487394_5857.JPEG,test,1,1.953225716324527e-17
n02009912_255.JPEG,test,1,2.1186605272611865e-26
n02256656_10028.JPEG,test,1,1.493763193138875e-07
n03642806_18705.JPEG,test,1,1.9824219446175098e-21
n02643566_3291.JPEG,test,1,3.835319617451205e-09
n03623198_3818.JPEG,test,1,0.0
n02092002_13648.JPEG,test,1,3.834035343440283e-15
n02219486_27735.JPEG,test,1,1.2422194252237083e-23
n02492660_9030.JPEG,test,1,0.07300513982772827
n04479046_9934.JPEG,test,1,6.508657861559186e-07
n03814639_5131.JPEG,test,1,0.03352288901805878
n04270147_6722.JPEG,test,1,2.5508906098536954e-09
n02917067_18040.JPEG,test,1,2.5169878294839677e-27
n01614925_14287.JPEG,test,1,2.6773108847098396e-24
n02974003_6678.JPEG,test,1,0.0
n02951358_34760.JPEG,test,1,3.485925784141308e-11
n01986214_16754.JPEG,test,1,8.050408918474744e-17
n13044778_4885.JPEG,test,1,0.25142332911491394
n02988304_8033.JPEG,test,1,3.6587796606163867e-17
n02091831_2449.JPEG,test,1,1.0180249350788433e-22
n04501370_13572.JPEG,test,1,7.870705864831962e-09
n04604644_3521.JPEG,test,1,7.966855619656599e-09
n04554684_7769.JPEG,test,1,1.1131606903961896e-17
n03794056_11539.JPEG,test,1,1.1837157920524533e-09
n02077923_11899.JPEG,test,1,5.7191020808033954e-09
n02704792_19284.JPEG,test,1,7.488983210981633e-27
n04118776_29962.JPEG,test,1,2.3652755784804663e-35
n01728572_8011.JPEG,test,1,0.05486689880490303
n02486410_2661.JPEG,test,1,2.8297803211785322e-08
n01675722_3555.JPEG,test,1,0.3524950444698334
n02447366_4693.JPEG,test,1,0.0005272554699331522
n04554684_8371.JPEG,test,1,2.4398252295949744e-29
n07753275_64463.JPEG,test,1,1.942835475832183e-11
n04326547_3120.JPEG,test,1,1.825305098041019e-12
n04458633_5931.JPEG,test,1,0.0
n02167151_7705.JPEG,test,1,5.945878789326287e-10
n03417042_3214.JPEG,test,1,8.258043682420719e-36
n07614500_73893.JPEG,test,1,0.0
n02825657_1212.JPEG,test,1,4.8011060767882305e-25
n02672831_42772.JPEG,test,1,1.8764936302900255e-17
n02403003_2257.JPEG,test,1,7.83205558614692e-20
n04591713_11.JPEG,test,1,0.10673931986093521
n02783161_11805.JPEG,test,1,1.9250686023042363e-07
n02102318_10164.JPEG,test,1,3.0696137400809675e-05
n07684084_8387.JPEG,test,1,1.048087482823307e-14
n02110806_11853.JPEG,test,1,1.179883746260657e-09
n02951585_9198.JPEG,test,1,1.9725344382669875e-19
n03125729_8292.JPEG,test,1,8.881325740418551e-18
n02091467_7975.JPEG,test,1,6.257449176998667e-19
n04392985_19377.JPEG,test,1,0.12251638621091843
n04507155_4732.JPEG,test,1,7.163020732114944e-10
n01930112_2133.JPEG,test,1,2.554931768372626e-07
n04461696_12365.JPEG,test,1,4.708307954073135e-36
n04273569_14219.JPEG,test,1,2.0597638991561723e-15
n01930112_9230.JPEG,test,1,0.8816992044448853
n04548362_20040.JPEG,test,1,1.0209938768356037e-19
n03662601_8774.JPEG,test,1,2.084985809490511e-34
n04296562_36376.JPEG,test,1,7.464363948785582e-21
n02895154_13660.JPEG,test,1,0.34616580605506897
n04335435_24661.JPEG,test,1,1.9949513292895483e-24
n01756291_24291.JPEG,test,1,1.1058887801951134e-18
n03868242_5332.JPEG,test,1,2.1828369619063407e-28
n02692877_12634.JPEG,test,1,1.0999544442055927e-14
n01729322_1676.JPEG,test,1,0.08353768289089203
n02093754_5454.JPEG,test,1,1.5389744110768857e-26
n01693334_9655.JPEG,test,1,0.981619119644165
n02089973_4562.JPEG,test,1,0.0
n02177972_1192.JPEG,test,1,0.9816665649414062
n02088238_2546.JPEG,test,1,5.578981997794299e-36
n02123045_6978.JPEG,test,1,1.5872268588503395e-19
n03954731_29636.JPEG,test,1,0.0
n04147183_46102.JPEG,test,1,0.44430217146873474
n04467665_1800.JPEG,test,1,1.2320762418436152e-25
n02174001_3966.JPEG,test,1,6.104001211853556e-23
n03888257_16673.JPEG,test,1,0.12333440035581589
n02979186_21298.JPEG,test,1,0.20453980565071106
n02018207_12079.JPEG,test,1,1.483859790596398e-07
n01614925_1345.JPEG,test,1,8.011764271077915e-35
n02412080_19932.JPEG,test,1,1.8930209264035034e-19
n04483307_16540.JPEG,test,1,9.83395439106971e-05
n02105855_5100.JPEG,test,1,6.421535999834305e-06
n02093991_8008.JPEG,test,1,3.0252211326298184e-13
n02110063_10890.JPEG,test,1,7.61340309251019e-24
n04275548_16197.JPEG,test,1,5.224801480352426e-09
n03481172_28633.JPEG,test,1,0.9932833909988403
n02099712_5621.JPEG,test,1,2.453899899104649e-22
n02841315_38532.JPEG,test,1,0.0
n01737021_6717.JPEG,test,1,4.554583483695751e-07
n03916031_31184.JPEG,test,1,0.10093268007040024
n03594734_5227.JPEG,test,1,0.7259038686752319
n03788195_1424.JPEG,test,1,1.0
n02883205_8268.JPEG,test,1,1.8123824923471643e-12
n02281406_4598.JPEG,test,1,0.018691275268793106
n03992509_7197.JPEG,test,1,0.0
n02930766_23334.JPEG,test,1,0.01646149531006813
n04532106_11478.JPEG,test,1,8.67849628966022e-12
n02092002_15428.JPEG,test,1,2.2685196654492756e-06
n04099969_48172.JPEG,test,1,5.273046846502132e-24
n03950228_7941.JPEG,test,1,1.132942770709633e-06
n03384352_9886.JPEG,test,1,7.855220514396639e-26
n02910353_14060.JPEG,test,1,3.7336209087060506e-31
n03208938_20584.JPEG,test,1,1.9245870175321755e-10
n02917067_11408.JPEG,test,1,0.0
n02992211_711.JPEG,test,1,0.1852373629808426
n07720875_5227.JPEG,test,1,1.774636621121317e-05
n03759954_12523.JPEG,test,1,1.2973511154257267e-11
n04428191_19036.JPEG,test,1,1.1136637712732753e-36
n03124170_16128.JPEG,test,1,1.2436888923437163e-31
n03457902_68820.JPEG,test,1,5.369753855036656e-38
n02978881_45475.JPEG,test,1,7.8315877207904145e-25
n02486410_26.JPEG,test,1,1.241987910325244e-22
